% Data dagdebieten Vecht (representatief geacht voor Dalfsen)
% Door:	Chris Geerse
% Datum: 6 februari 2006
%
% Perioden:
% 01-01-1960 t/m 31-12-1983
% 01-10-1993 t/m 31-03-1994
% 01-10-1998 t/m 31-03-1999
% 01-10-2000 t/m 31-03-2001
%
% Herkomst data van 1-1-1960 t/m 31-12-1983 uit een Q-H relatie, zie [Chbab, 1995] voor informatie.
% [Chbab, 2005]: Frequentieanalyse Vechtafvoer te Vechterweerd. E.H. Chbab. 
% RIZA-Werkdocument 95.131x. RIZA Lelystad, september 1995.
%
% Van de drie daaropvolgende perioden is de herkomst onduidelijk.
% De kwaliteit van deze metingen is twijfelachtig:
% a. deze perioden bevatten geen erg lage afvoeren meer;
% b. het jaar 2000 bevat alleen afvoeren circa 125 m3/s (laat jaar 2000 bij voorkeur weg in analyses)
%
%jaar  	  maand 	  dag	afvoer
1960  	   03   	   18	7
1960  	   03   	   19	9
1960  	   03   	   20	10
1960  	   03   	   21	7
1960  	   03   	   22	6
1960  	   03   	   23	7
1960  	   03   	   24	7
1960  	   03   	   25	5
1960  	   03   	   26	7
1960  	   03   	   27	6
1960  	   03   	   28	8
1960  	   03   	   29	6
1960  	   03   	   30	5
1960  	   03   	   31	8
1960  	   04   	   01	7
1960  	   04   	   02	7
1960  	   04   	   03	7
1960  	   04   	   04	3
1960  	   04   	   05	6
1960  	   04   	   06	6
1960  	   04   	   07	3
1960  	   04   	   08	7
1960  	   04   	   09	6
1960  	   04   	   10	6
1960  	   04   	   11	10
1960  	   04   	   12	15
1960  	   04   	   13	10
1960  	   04   	   14	8
1960  	   04   	   15	9
1960  	   04   	   16	12
1960  	   04   	   17	6
1960  	   04   	   18	5
1960  	   04   	   19	6
1960  	   04   	   20	1
1960  	   04   	   21	2
1960  	   04   	   22	6
1960  	   04   	   23	3
1960  	   04   	   24	6
1960  	   04   	   25	5
1960  	   04   	   26	3
1960  	   04   	   27	2
1960  	   04   	   28	2
1960  	   04   	   29	2
1960  	   04   	   30	2
1960  	   05   	   01	5
1960  	   05   	   02	2
1960  	   05   	   03	2
1960  	   05   	   04	6
1960  	   05   	   05	3
1960  	   05   	   06	1
1960  	   05   	   07	3
1960  	   05   	   08	1
1960  	   05   	   09	1
1960  	   05   	   10	1
1960  	   05   	   11	1
1960  	   05   	   12	0
1960  	   05   	   13	0
1960  	   05   	   14	1
1960  	   05   	   15	5
1960  	   05   	   16	5
1960  	   05   	   17	2
1960  	   05   	   18	2
1960  	   05   	   19	2
1960  	   05   	   20	1
1960  	   05   	   21	2
1960  	   05   	   22	2
1960  	   05   	   23	3
1960  	   05   	   24	2
1960  	   05   	   25	6
1960  	   05   	   26	3
1960  	   05   	   27	2
1960  	   05   	   28	1
1960  	   05   	   29	2
1960  	   05   	   30	3
1960  	   05   	   31	1
1960  	   06   	   01	2
1960  	   06   	   02	3
1960  	   06   	   03	1
1960  	   06   	   04	1
1960  	   06   	   05	0
1960  	   06   	   06	0
1960  	   06   	   07	1
1960  	   06   	   08	5
1960  	   06   	   09	3
1960  	   06   	   10	3
1960  	   06   	   11	2
1960  	   06   	   12	2
1960  	   06   	   13	2
1960  	   06   	   14	1
1960  	   06   	   15	1
1960  	   06   	   16	1
1960  	   06   	   17	2
1960  	   06   	   18	3
1960  	   06   	   19	2
1960  	   06   	   20	1
1960  	   06   	   21	2
1960  	   06   	   22	1
1960  	   06   	   23	2
1960  	   06   	   24	0
1960  	   06   	   25	0
1960  	   06   	   26	0
1960  	   06   	   27	0
1960  	   06   	   28	2
1960  	   06   	   29	3
1960  	   06   	   30	3
1960  	   07   	   01	2
1960  	   07   	   02	2
1960  	   07   	   03	1
1960  	   07   	   04	1
1960  	   07   	   05	2
1960  	   07   	   06	2
1960  	   07   	   07	3
1960  	   07   	   08	5
1960  	   07   	   09	1
1960  	   07   	   10	6
1960  	   07   	   11	6
1960  	   07   	   12	6
1960  	   07   	   13	6
1960  	   07   	   14	5
1960  	   07   	   15	2
1960  	   07   	   16	2
1960  	   07   	   17	2
1960  	   07   	   18	2
1960  	   07   	   19	6
1960  	   07   	   20	2
1960  	   07   	   21	6
1960  	   07   	   22	3
1960  	   07   	   23	5
1960  	   07   	   24	3
1960  	   07   	   25	1
1960  	   07   	   26	5
1960  	   07   	   27	1
1960  	   07   	   28	1
1960  	   07   	   29	1
