%statistiek_Hydra_M_IJsselmeer.txt
%Door: Chris Geerse
%Datum 7 okt 2008.
%
%Bron:
%Overschrijdingsfrequentie OF volgens Hydra-M HR2006 ("Of_mptop.dmm").
%Dagenlijnen volgens Hydra-M HR2006 ("Of_mpdag.dmm").
%
% NB: aan het eind van het bestand geen monotone afname OF en OD meer, door te kleine getallen.
%
%
%m, m+NAP     OF, 1/whjaar	       OD, dag/whjaar        Dwest, dag/whjaar     ODoost, dag/whjaar
-0.40            6.1408041309          92.2420383215         53.1314140732         39.2951083250
0.80		 0.0000242027	        0.0000121014          0.0000069704          0.0000051552
0.81		 0.0000218187	        0.0000109093          0.0000062838          0.0000046474
0.82		 0.0000196694	        0.0000098347          0.0000056648          0.0000041896
0.83		 0.0000177319	        0.0000088660          0.0000051068          0.0000037769
0.84		 0.0000159852	        0.0000079926          0.0000046038          0.0000034049
0.85		 0.0000144106	        0.0000072053          0.0000041503          0.0000030695
0.86		 0.0000129911	        0.0000064956          0.0000037414          0.0000027671
0.87		 0.0000117114	        0.0000058557          0.0000033729          0.0000024945
0.88		 0.0000105578	        0.0000052789          0.0000030407          0.0000022488
0.89		 0.0000095178	        0.0000047589          0.0000027411          0.0000020273
0.90		 0.0000085803	        0.0000042901          0.0000024711          0.0000018276
0.91		 0.0000077351	        0.0000038675          0.0000022277          0.0000016476
0.92		 0.0000069731	        0.0000034866          0.0000020083          0.0000014853
0.93		 0.0000062863	        0.0000031431          0.0000018104          0.0000013390
0.94		 0.0000056670	        0.0000028335          0.0000016321          0.0000012071
0.95		 0.0000051088	        0.0000025544          0.0000014713          0.0000010882
0.96		 0.0000046056	        0.0000023028          0.0000013264          0.0000009810
0.97		 0.0000041519	        0.0000020760          0.0000011957          0.0000008844
0.98		 0.0000037429	        0.0000018715          0.0000010780          0.0000007972
0.99		 0.0000033742	        0.0000016871          0.0000009718          0.0000007187
1.00		 0.0000030419	        0.0000015209          0.0000008761          0.0000006479
1.01		 0.0000027422	        0.0000013711          0.0000007898          0.0000005841
1.02		 0.0000024721	        0.0000012360          0.0000007120          0.0000005266
1.03		 0.0000022286	        0.0000011143          0.0000006418          0.0000004747
1.04		 0.0000020091	        0.0000010045          0.0000005786          0.0000004279
1.05		 0.0000018112	        0.0000009056          0.0000005216          0.0000003858
