%statistiek_Hydra_M_IJsselmeer.txt
%Door: Chris Geerse
%Datum 18 jan 2006.
%
%Bron:
%Overschrijdingsfrequentie OF uit bijlage 8 van [Blaakman et al, 1999].
%Dagenlijnen (omni, west en oost) uit bijlage 9 van [Blaakman et al, 1999].
%
%[Blaakman et al, 1999]:
%Achtergronden Hydraulische Belastingen Dijken IJsselmeergebied. 
%Deelrapport 2: Meerpeilstatistiek. E.J. Blaakman, H. Buiteveld, H.C. van Twuiver,
%A. van Agthoven. RIZA rapport 99.039. RIZA Lelystad, 25 maart 1999.
%
%
%m, m+NAP     OF, 1/whjaar		 OD, dag/whjaar           ODwest, dag/whjaar    ODoost, dag/whjaar
-0.40        6.3289473750        181.9183140049			  131.5766395080		50.3416744969
0.81		 0.0008188700		 0.0004117339			  0.0003854973			0.0000262366
0.82		 0.0007537580		 0.0003788396			  0.0003550196			0.0000238200
0.83		 0.0006941380		 0.0003487428			  0.0003271066			0.0000216362
0.84		 0.0006395250		 0.0003211929			  0.0003015310			0.0000196619
0.85		 0.0005894760		 0.0002959616			  0.0002780854			0.0000178762
0.86		 0.0005435900		 0.0002728428			  0.0002565826			0.0000162602
0.87		 0.0005015030		 0.0002516497			  0.0002368524			0.0000147973
0.88		 0.0004628820		 0.0002322116			  0.0002187396			0.0000134721
0.89		 0.0004274250		 0.0002143744			  0.0002021033			0.0000122711
0.90		 0.0003948590		 0.0001979985			  0.0001868163			0.0000111822
0.91		 0.0003649340		 0.0001829566			  0.0001727622			0.0000101944
0.92		 0.0003374220		 0.0001691327			  0.0001598348			0.0000092979
0.93		 0.0003121170		 0.0001564220			  0.0001479381			0.0000084840
0.94		 0.0002888300		 0.0001447287			  0.0001369842			0.0000077445
0.95		 0.0002673900		 0.0001339659			  0.0001268936			0.0000070723
0.96		 0.0002476400		 0.0001240542			  0.0001175930			0.0000064612
0.97		 0.0002294390		 0.0001149221			  0.0001090170			0.0000059051
0.98		 0.0002126570		 0.0001065039			  0.0001011050			0.0000053989
0.99		 0.0001971760		 0.0000987400			  0.0000938021			0.0000049380
1.00		 0.0001828870		 0.0000915754			  0.0000870574			0.0000045180
1.01		 0.0001696940		 0.0000849614			  0.0000808263			0.0000041352
1.02		 0.0001575050		 0.0000788519			  0.0000750659			0.0000037860
1.03		 0.0001462390		 0.0000732059			  0.0000697384			0.0000034675
1.04		 0.0001358220		 0.0000679862			  0.0000648094			0.0000031768
1.05		 0.0001261850		 0.0000631580			  0.0000602466			0.0000029113
1.06		 0.0001172650		 0.0000586895			  0.0000560208			0.0000026688
1.07		 0.0001090060		 0.0000545527			  0.0000521057			0.0000024470
1.08		 0.0001013560		 0.0000507214			  0.0000484770			0.0000022443
1.09		 0.0000942660		 0.0000471709			  0.0000451118			0.0000020590
1.10		 0.0000876930		 0.0000438796			  0.0000419902			0.0000018894
1.11		 0.0000815970		 0.0000408274			  0.0000390934			0.0000017341
1.12		 0.0000759420		 0.0000379963			  0.0000364043			0.0000015920
1.13		 0.0000706920		 0.0000353681			  0.0000339065			0.0000014617
1.14		 0.0000658190		 0.0000329289			  0.0000315865			0.0000013424
1.15		 0.0000612920		 0.0000306630			  0.0000294299			0.0000012330
1.16		 0.0000570870		 0.0000285584			  0.0000274256			0.0000011328
1.17		 0.0000531780		 0.0000266021			  0.0000255612			0.0000010408
1.18		 0.0000495450		 0.0000247840			  0.0000238275			0.0000009564
1.19		 0.0000461660		 0.0000230931			  0.0000222140			0.0000008790
1.20		 0.0000430240		 0.0000215208			  0.0000207128			0.0000008081
1.21		 0.0000401000		 0.0000200578			  0.0000193149			0.0000007428
1.22		 0.0000373800		 0.0000186968			  0.0000180138			0.0000006830
1.23		 0.0000348470		 0.0000174295			  0.0000168015			0.0000006280
1.24		 0.0000324900		 0.0000162503			  0.0000156728			0.0000005775
1.25		 0.0000302950		 0.0000151521			  0.0000146210			0.0000005311
1.26		 0.0000282500		 0.0000141291			  0.0000136406			0.0000004885
