*
* Overschrijdingskansen potentiele windsnelheid Vlissingen met winddrag. Met statistische onzekerheid.
* WTI2017: 12-uursmaxima, gegeven windrichting
*
* Door: Chris Geerse van HKV lijn in water
* Project: PR3556.10
* Datum: augustus 2017
*
* u         NNO            NO             ONO            O              OZO            ZO             ZZO            Z              ZZW            ZW             WZW            W              WNW            NW             NNW            N
 29.00      1.651e-08      1.375e-08      2.375e-08      2.872e-08      5.598e-08      1.366e-07      7.101e-07      2.082e-06      3.955e-06      4.141e-05      8.221e-05      7.435e-05      2.536e-05      7.588e-06      1.539e-06      9.901e-08 
 29.50      1.130e-08      9.248e-09      1.610e-08      1.985e-08      3.895e-08      9.599e-08      5.076e-07      1.494e-06      2.849e-06      3.145e-05      6.271e-05      5.740e-05      1.937e-05      5.666e-06      1.124e-06      6.801e-08 
 30.00      7.701e-09      6.192e-09      1.087e-08      1.365e-08      2.696e-08      6.712e-08      3.610e-07      1.066e-06      2.041e-06      2.375e-05      4.756e-05      4.406e-05      1.471e-05      4.208e-06      8.158e-07      4.647e-08 
 30.50      5.202e-09      4.113e-09      7.276e-09      9.307e-09      1.851e-08      4.652e-08      2.544e-07      7.544e-07      1.450e-06      1.777e-05      3.574e-05      3.352e-05      1.107e-05      3.097e-06      5.870e-07      3.147e-08 
 31.00      3.468e-09      2.697e-09      4.809e-09      6.264e-09      1.254e-08      3.182e-08      1.770e-07      5.268e-07      1.016e-06      1.313e-05      2.652e-05      2.518e-05      8.233e-06      2.250e-06      4.169e-07      2.102e-08 
 31.50      2.271e-09      1.737e-09      3.123e-09      4.143e-09      8.346e-09      2.139e-08      1.211e-07      3.616e-07      7.003e-07      9.559e-06      1.938e-05      1.864e-05      6.030e-06      1.609e-06      2.912e-07      1.379e-08 
 32.00      1.457e-09      1.096e-09      1.985e-09      2.683e-09      5.442e-09      1.409e-08      8.119e-08      2.434e-07      4.733e-07      6.843e-06      1.393e-05      1.358e-05      4.345e-06      1.130e-06      1.996e-07      8.860e-09 
 32.50      9.140e-10      6.750e-10      1.234e-09      1.699e-09      3.472e-09      9.090e-09      5.336e-08      1.606e-07      3.136e-07      4.822e-06      9.860e-06      9.744e-06      3.083e-06      7.801e-07      1.343e-07      5.568e-09 
 33.00      5.618e-10      4.066e-10      7.501e-10      1.054e-09      2.171e-09      5.751e-09      3.443e-08      1.040e-07      2.041e-07      3.353e-06      6.886e-06      6.905e-06      2.159e-06      5.305e-07      8.885e-08      3.428e-09 
 33.50      3.394e-10      2.403e-10      4.476e-10      6.424e-10      1.334e-09      3.581e-09      2.189e-08      6.642e-08      1.310e-07      2.309e-06      4.763e-06      4.849e-06      1.498e-06      3.566e-07      5.802e-08      2.074e-09 
 34.00      2.025e-10      1.399e-10      2.633e-10      3.864e-10      8.099e-10      2.205e-09      1.378e-08      4.197e-08      8.318e-08      1.580e-06      3.274e-06      3.385e-06      1.033e-06      2.378e-07      3.754e-08      1.239e-09 
 34.50      1.199e-10      8.065e-11      1.535e-10      2.305e-10      4.877e-10      1.347e-09      8.612e-09      2.635e-08      5.250e-08      1.077e-06      2.242e-06      2.356e-06      7.100e-07      1.579e-07      2.416e-08      7.341e-10 
 35.00      7.063e-11      4.623e-11      8.904e-11      1.368e-10      2.923e-10      8.202e-10      5.366e-09      1.649e-08      3.303e-08      7.333e-07      1.534e-06      1.637e-06      4.875e-07      1.046e-07      1.551e-08      4.330e-10 
 35.50      4.154e-11      2.643e-11      5.152e-11      8.103e-11      1.749e-10      4.985e-10      3.339e-09      1.030e-08      2.075e-08      4.990e-07      1.048e-06      1.137e-06      3.346e-07      6.927e-08      9.941e-09      2.549e-10 
 36.00      2.441e-11      1.510e-11      2.979e-11      4.796e-11      1.046e-10      3.029e-10      2.077e-09      6.435e-09      1.304e-08      3.396e-07      7.164e-07      7.894e-07      2.297e-07      4.586e-08      6.371e-09      1.499e-10 
 36.50      1.435e-11      8.626e-12      1.723e-11      2.838e-11      6.253e-11      1.840e-10      1.292e-09      4.019e-09      8.188e-09      2.312e-07      4.897e-07      5.483e-07      1.578e-07      3.037e-08      4.084e-09      8.819e-11 
 37.00      8.440e-12      4.929e-12      9.973e-12      1.680e-11      3.740e-11      1.118e-10      8.042e-10      2.511e-09      5.144e-09      1.574e-07      3.348e-07      3.809e-07      1.085e-07      2.011e-08      2.619e-09      5.189e-11 
 37.50      4.966e-12      2.817e-12      5.775e-12      9.951e-12      2.238e-11      6.800e-11      5.007e-10      1.570e-09      3.233e-09      1.072e-07      2.290e-07      2.646e-07      7.460e-08      1.333e-08      1.680e-09      3.054e-11 
 38.00      2.923e-12      1.611e-12      3.347e-12      5.896e-12      1.339e-11      4.136e-11      3.119e-10      9.812e-10      2.033e-09      7.307e-08      1.566e-07      1.839e-07      5.134e-08      8.832e-09      1.078e-09      1.798e-11 
 38.50      1.721e-12      9.220e-13      1.941e-12      3.494e-12      8.020e-12      2.517e-11      1.943e-10      6.137e-10      1.278e-09      4.981e-08      1.072e-07      1.278e-07      3.535e-08      5.856e-09      6.916e-10      1.059e-11 
 39.00      1.014e-12      5.278e-13      1.126e-12      2.072e-12      4.804e-12      1.532e-11      1.211e-10      3.839e-10      8.041e-10      3.396e-08      7.336e-08      8.887e-08      2.435e-08      3.884e-09      4.440e-10      6.243e-12 
 39.50      5.978e-13      3.023e-13      6.541e-13      1.229e-12      2.879e-12      9.332e-12      7.554e-11      2.403e-10      5.060e-10      2.316e-08      5.023e-08      6.180e-08      1.678e-08      2.577e-09      2.851e-10      3.681e-12 
 40.00      3.525e-13      1.732e-13      3.801e-13      7.293e-13      1.726e-12      5.686e-12      4.712e-11      1.504e-10      3.185e-10      1.580e-08      3.439e-08      4.298e-08      1.157e-08      1.710e-09      1.832e-10      2.171e-12 
 40.50      2.080e-13      9.930e-14      2.211e-13      4.329e-13      1.035e-12      3.465e-12      2.941e-11      9.418e-11      2.005e-10      1.079e-08      2.356e-08      2.990e-08      7.986e-09      1.135e-09      1.177e-10      1.281e-12 
 41.00      1.227e-13      5.695e-14      1.287e-13      2.571e-13      6.209e-13      2.113e-12      1.836e-11      5.899e-11      1.263e-10      7.363e-09      1.614e-08      2.081e-08      5.513e-09      7.537e-10      7.566e-11      7.560e-13 
 41.50      7.247e-14      3.268e-14      7.493e-14      1.527e-13      3.726e-13      1.289e-12      1.147e-11      3.697e-11      7.959e-11      5.028e-09      1.106e-08      1.448e-08      3.808e-09      5.006e-10      4.864e-11      4.464e-13 
 42.00      4.280e-14      1.876e-14      4.367e-14      9.077e-14      2.237e-13      7.866e-13      7.165e-12      2.317e-11      5.016e-11      3.434e-09      7.583e-09      1.008e-08      2.631e-09      3.326e-10      3.128e-11      2.637e-13 
