m \ r (m+NAP),30;60;90;120;150;180;210;240;270;300;330;360
  5.62;6.295e-22;4.123e-22;3.073e-22;4.337e-22;4.164e-22;2.269e-22;3.896e-18;3.798e-09;6.554e-06;5.161e-051.302e-05;2.167e-08
  5.72;1.669e-22;1.093e-22;8.145e-23;1.150e-22;1.104e-22;6.014e-23;1.309e-18;2.292e-09;4.576e-06;3.743e-059.285e-06;1.334e-08
  5.82;4.468e-23;2.926e-23;2.181e-23;3.078e-23;2.956e-23;1.611e-23;4.440e-19;1.386e-09;3.192e-06;2.708e-056.612e-06;8.221e-09
  5.92;1.219e-23;7.983e-24;5.950e-24;8.397e-24;8.062e-24;4.393e-24;1.527e-19;8.408e-10;2.224e-06;1.953e-054.701e-06;5.075e-09
  6.02;3.393e-24;2.223e-24;1.656e-24;2.338e-24;2.245e-24;1.223e-24;5.316e-20;5.104e-10;1.545e-06;1.404e-053.334e-06;3.132e-09
  6.12;9.590e-25;6.281e-25;4.681e-25;6.607e-25;6.344e-25;3.457e-25;1.866e-20;3.097e-10;1.071e-06;1.005e-052.357e-06;1.931e-09
  6.22;2.734e-25;1.791e-25;1.335e-25;1.884e-25;1.809e-25;9.855e-26;6.578e-21;1.879e-10;7.405e-07;7.173e-061.663e-06;1.190e-09
  6.32;7.839e-26;5.134e-26;3.827e-26;5.401e-26;5.186e-26;2.826e-26;2.327e-21;1.141e-10;5.111e-07;5.103e-061.171e-06;7.327e-10
  6.42;2.259e-26;1.480e-26;1.103e-26;1.556e-26;1.494e-26;8.142e-27;8.258e-22;6.936e-11;3.525e-07;3.624e-068.234e-07;4.516e-10
  6.52;6.548e-27;4.289e-27;3.196e-27;4.511e-27;4.331e-27;2.360e-27;2.946e-22;4.228e-11;2.431e-07;2.570e-065.789e-07;2.789e-10
  6.62;1.913e-27;1.253e-27;9.338e-28;1.318e-27;1.265e-27;6.895e-28;1.059e-22;2.585e-11;1.676e-07;1.819e-064.068e-07;1.726e-10
  6.72;5.649e-28;3.700e-28;2.758e-28;3.892e-28;3.737e-28;2.036e-28;3.844e-23;1.585e-11;1.155e-07;1.286e-062.857e-07;1.070e-10
  6.82;1.692e-28;1.108e-28;8.257e-29;1.165e-28;1.119e-28;6.097e-29;1.411e-23;9.736e-12;7.953e-08;9.076e-072.004e-07;6.646e-11
  6.92;5.142e-29;3.368e-29;2.510e-29;3.542e-29;3.401e-29;1.853e-29;5.234e-24;5.990e-12;5.471e-08;6.390e-071.404e-07;4.130e-11
  7.02;1.586e-29;1.039e-29;7.741e-30;1.092e-29;1.049e-29;5.716e-30;1.959e-24;3.689e-12;3.758e-08;4.488e-079.819e-08;2.568e-11
  7.12;4.949e-30;3.241e-30;2.416e-30;3.409e-30;3.274e-30;1.784e-30;7.383e-25;2.274e-12;2.577e-08;3.144e-076.854e-08;1.597e-11
  7.22;1.559e-30;1.021e-30;7.609e-31;1.074e-30;1.031e-30;5.618e-31;2.797e-25;1.402e-12;1.764e-08;2.196e-074.775e-08;9.927e-12
  7.32;4.943e-31;3.238e-31;2.413e-31;3.405e-31;3.270e-31;1.782e-31;1.064e-25;8.648e-13;1.205e-08;1.529e-073.318e-08;6.172e-12
  7.42;1.576e-31;1.033e-31;7.696e-32;1.086e-31;1.043e-31;5.682e-32;4.062e-26;5.336e-13;8.216e-09;1.061e-072.299e-08;3.836e-12
  7.52;5.052e-32;3.309e-32;2.466e-32;3.481e-32;3.342e-32;1.821e-32;1.556e-26;3.292e-13;5.583e-09;7.337e-081.588e-08;2.383e-12
  7.62;1.626e-32;1.065e-32;7.940e-33;1.121e-32;1.076e-32;5.863e-33;5.977e-27;2.031e-13;3.782e-09;5.049e-081.092e-08;1.479e-12
  7.72;5.259e-33;3.444e-33;2.567e-33;3.623e-33;3.479e-33;1.896e-33;2.303e-27;1.252e-13;2.551e-09;3.457e-087.479e-09;9.169e-13
  7.82;1.707e-33;1.118e-33;8.335e-34;1.176e-33;1.129e-33;6.154e-34;8.903e-28;7.705e-14;1.712e-09;2.352e-085.092e-09;5.675e-13
  7.92;5.566e-34;3.646e-34;2.717e-34;3.835e-34;3.682e-34;2.006e-34;3.451e-28;4.734e-14;1.142e-09;1.589e-083.443e-09;3.504e-13
  8.00;2.277e-34;1.491e-34;1.111e-34;1.569e-34;1.506e-34;8.207e-35;1.620e-28;3.200e-14;8.216e-10;1.154e-082.503e-09;2.377e-13
