*
* Overschrijdingskansen potentiele windsnelheid Schiphol. Zonder statistische onzekerheid.
* WTI2017: 12-uursmaxima, gegeven windrichting
*
* Door: K.A. Wojciechowska van HKV lijn in water
* Project: PR3280.10
*
* u         NNO             NO              ONO             O               OZO             ZO              ZZO             Z               ZZW             ZW              WZW             W               WNW             NW              NNW             N
 19.50      1.863e-04      9.921e-05      7.796e-05      2.294e-05      6.681e-06      7.329e-06      5.006e-05      1.839e-04      1.865e-03      5.725e-03      8.169e-03      5.788e-03      5.351e-03      3.899e-03      1.761e-03      6.173e-04 
 20.00      1.339e-04      6.828e-05      5.421e-05      1.561e-05      4.433e-06      4.630e-06      3.441e-05      1.284e-04      1.430e-03      4.338e-03      6.509e-03      4.551e-03      4.159e-03      3.011e-03      1.350e-03      4.600e-04 
 20.50      9.652e-05      4.702e-05      3.770e-05      1.063e-05      2.946e-06      2.924e-06      2.368e-05      8.959e-05      1.097e-03      3.287e-03      5.043e-03      3.579e-03      3.232e-03      2.326e-03      1.035e-03      3.428e-04 
 21.00      6.974e-05      3.238e-05      2.622e-05      7.235e-06      1.960e-06      1.847e-06      1.632e-05      6.252e-05      8.409e-04      2.491e-03      3.907e-03      2.814e-03      2.513e-03      1.796e-03      7.930e-04      2.555e-04 
 21.50      5.052e-05      2.231e-05      1.823e-05      4.925e-06      1.305e-06      1.167e-06      1.126e-05      4.363e-05      6.449e-04      1.888e-03      3.027e-03      2.213e-03      1.953e-03      1.387e-03      6.079e-04      1.904e-04 
 22.00      3.668e-05      1.538e-05      1.268e-05      3.353e-06      8.706e-07      7.371e-07      7.772e-06      3.045e-05      4.946e-04      1.431e-03      2.299e-03      1.740e-03      1.518e-03      1.071e-03      4.660e-04      1.419e-04 
 22.50      2.669e-05      1.060e-05      8.819e-06      2.282e-06      5.813e-07      4.656e-07      5.371e-06      2.125e-05      3.794e-04      1.084e-03      1.743e-03      1.368e-03      1.180e-03      8.275e-04      3.572e-04      1.057e-04 
 23.00      1.946e-05      7.314e-06      6.134e-06      1.553e-06      3.886e-07      2.941e-07      3.715e-06      1.483e-05      2.910e-04      8.219e-04      1.322e-03      1.076e-03      9.176e-04      6.391e-04      2.739e-04      7.877e-05 
 23.50      1.421e-05      5.046e-06      4.266e-06      1.057e-06      2.600e-07      1.858e-07      2.572e-06      1.035e-05      2.232e-04      6.230e-04      1.002e-03      8.459e-04      7.135e-04      4.937e-04      2.100e-04      5.870e-05 
 24.00      1.040e-05      3.482e-06      2.967e-06      7.198e-07      1.742e-07      1.173e-07      1.781e-06      7.223e-06      1.713e-04      4.722e-04      7.600e-04      6.652e-04      5.547e-04      3.813e-04      1.610e-04      4.374e-05 
 24.50      7.624e-06      2.404e-06      2.064e-06      4.900e-07      1.168e-07      7.413e-08      1.235e-06      5.041e-06      1.314e-04      3.580e-04      5.765e-04      5.230e-04      4.313e-04      2.945e-04      1.234e-04      3.260e-05 
 25.00      5.597e-06      1.660e-06      1.435e-06      3.335e-07      7.838e-08      4.682e-08      8.564e-07      3.518e-06      1.008e-04      2.714e-04      4.374e-04      4.113e-04      3.354e-04      2.275e-04      9.463e-05      2.429e-05 
 25.50      4.115e-06      1.147e-06      9.983e-07      2.271e-07      5.265e-08      2.958e-08      5.943e-07      2.455e-06      7.734e-05      2.057e-04      3.319e-04      3.234e-04      2.608e-04      1.757e-04      7.256e-05      1.810e-05 
 26.00      3.029e-06      7.924e-07      6.944e-07      1.546e-07      3.540e-08      1.868e-08      4.126e-07      1.713e-06      5.934e-05      1.560e-04      2.519e-04      2.543e-04      2.029e-04      1.357e-04      5.563e-05      1.349e-05 
 26.50      2.232e-06      5.476e-07      4.830e-07      1.052e-07      2.382e-08      1.180e-08      2.866e-07      1.196e-06      4.553e-05      1.183e-04      1.912e-04      2.000e-04      1.578e-04      1.048e-04      4.266e-05      1.005e-05 
 27.00      1.647e-06      3.786e-07      3.360e-07      7.162e-08      1.604e-08      7.455e-09      1.992e-07      8.344e-07      3.494e-05      8.968e-05      1.451e-04      1.572e-04      1.227e-04      8.098e-05      3.271e-05      7.491e-06 
 27.50      1.216e-06      2.618e-07      2.337e-07      4.875e-08      1.081e-08      4.710e-09      1.385e-07      5.823e-07      2.681e-05      6.800e-05      1.102e-04      1.236e-04      9.545e-05      6.255e-05      2.509e-05      5.582e-06 
 28.00      8.988e-07      1.811e-07      1.626e-07      3.319e-08      7.286e-09      2.975e-09      9.628e-08      4.064e-07      2.057e-05      5.157e-05      8.370e-05      9.722e-05      7.425e-05      4.832e-05      1.924e-05      4.160e-06 
 28.50      6.649e-07      1.253e-07      1.131e-07      2.259e-08      4.916e-09      1.879e-09      6.698e-08      2.836e-07      1.579e-05      3.911e-05      6.358e-05      7.644e-05      5.776e-05      3.733e-05      1.475e-05      3.100e-06 
 29.00      4.922e-07      8.667e-08      7.866e-08      1.538e-08      3.319e-09      1.187e-09      4.661e-08      1.979e-07      1.212e-05      2.966e-05      4.831e-05      6.011e-05      4.494e-05      2.883e-05      1.131e-05      2.310e-06 
 29.50      3.646e-07      5.999e-08      5.472e-08      1.047e-08      2.242e-09      7.499e-10      3.244e-08      1.381e-07      9.298e-06      2.249e-05      3.672e-05      4.727e-05      3.496e-05      2.227e-05      8.677e-06      1.721e-06 
 30.00      2.703e-07      4.153e-08      3.806e-08      7.125e-09      1.515e-09      4.737e-10      2.259e-08      9.639e-08      7.135e-06      1.706e-05      2.791e-05      3.717e-05      2.720e-05      1.721e-05      6.654e-06      1.283e-06 
 30.50      2.004e-07      2.875e-08      2.648e-08      4.850e-09      1.024e-09      2.992e-10      1.573e-08      6.727e-08      5.476e-06      1.294e-05      2.122e-05      2.922e-05      2.116e-05      1.329e-05      5.104e-06      9.558e-07 
 31.00      1.487e-07      1.991e-08      1.842e-08      3.302e-09      6.930e-10      1.890e-10      1.095e-08      4.695e-08      4.202e-06      9.816e-06      1.614e-05      2.298e-05      1.647e-05      1.027e-05      3.914e-06      7.123e-07 
 31.50      1.104e-07      1.379e-08      1.281e-08      2.247e-09      4.690e-10      1.194e-10      7.631e-09      3.276e-08      3.225e-06      7.446e-06      1.227e-05      1.807e-05      1.282e-05      7.932e-06      3.002e-06      5.308e-07 
 32.00      8.198e-08      9.557e-09      8.914e-09      1.530e-09      3.176e-10      7.543e-11      5.317e-09      2.286e-08      2.475e-06      5.649e-06      9.340e-06      1.421e-05      9.974e-06      6.128e-06      2.303e-06      3.955e-07 
 32.50      6.090e-08      6.622e-09      6.201e-09      1.041e-09      2.151e-10      4.765e-11      3.705e-09      1.596e-08      1.900e-06      4.286e-06      7.108e-06      1.117e-05      7.763e-06      4.734e-06      1.766e-06      2.947e-07 
 33.00      4.525e-08      4.590e-09      4.314e-09      7.089e-10      1.457e-10      3.010e-11      2.582e-09      1.114e-08      1.458e-06      3.252e-06      5.411e-06      8.785e-06      6.042e-06      3.657e-06      1.355e-06      2.196e-07 
 33.50      3.364e-08      3.182e-09      3.001e-09      4.825e-10      9.878e-11      1.901e-11      1.800e-09      7.771e-09      1.119e-06      2.467e-06      4.120e-06      6.908e-06      4.703e-06      2.825e-06      1.039e-06      1.637e-07 
 34.00      2.501e-08      2.206e-09      2.088e-09      3.285e-10      6.697e-11      1.201e-11      1.255e-09      5.423e-09      8.588e-07      1.872e-06      3.138e-06      5.432e-06      3.661e-06      2.183e-06      7.971e-07      1.220e-07 
 34.50      1.860e-08      1.530e-09      1.453e-09      2.236e-10      4.542e-11      7.588e-12      8.748e-10      3.785e-09      6.591e-07      1.421e-06      2.391e-06      4.271e-06      2.850e-06      1.686e-06      6.114e-07      9.089e-08 
 35.00      1.384e-08      1.061e-09      1.011e-09      1.522e-10      3.081e-11      4.793e-12      6.099e-10      2.641e-09      5.059e-07      1.078e-06      1.822e-06      3.359e-06      2.219e-06      1.303e-06      4.690e-07      6.773e-08 
 35.50      1.029e-08      7.357e-10      7.032e-10      1.036e-10      2.091e-11      3.028e-12      4.253e-10      1.843e-09      3.883e-07      8.183e-07      1.389e-06      2.641e-06      1.727e-06      1.007e-06      3.598e-07      5.047e-08 
 36.00      7.660e-09      5.104e-10      4.892e-10      7.053e-11      1.419e-11      1.913e-12      2.966e-10      1.286e-09      2.980e-07      6.210e-07      1.059e-06      2.077e-06      1.345e-06      7.777e-07      2.760e-07      3.761e-08 
 36.50      5.701e-09      3.541e-10      3.404e-10      4.801e-11      9.632e-12      1.208e-12      2.068e-10      8.978e-10      2.287e-07      4.714e-07      8.079e-07      1.633e-06      1.047e-06      6.008e-07      2.117e-07      2.803e-08 
 37.00      4.243e-09      2.457e-10      2.368e-10      3.268e-11      6.540e-12      7.633e-13      1.443e-10      6.265e-10      1.755e-07      3.578e-07      6.164e-07      1.284e-06      8.155e-07      4.642e-07      1.624e-07      2.089e-08 
 37.50      3.159e-09      1.705e-10      1.648e-10      2.225e-11      4.441e-12      4.822e-13      1.006e-10      4.372e-10      1.347e-07      2.716e-07      4.705e-07      1.010e-06      6.350e-07      3.587e-07      1.246e-07      1.556e-08 
 38.00      2.352e-09      1.184e-10      1.146e-10      1.514e-11      3.017e-12      3.046e-13      7.019e-11      3.051e-10      1.034e-07      2.062e-07      3.592e-07      7.939e-07      4.946e-07      2.771e-07      9.559e-08      1.160e-08 
 38.50      1.751e-09      8.215e-11      7.976e-11      1.031e-11      2.049e-12      1.924e-13      4.896e-11      2.130e-10      7.937e-08      1.565e-07      2.743e-07      6.243e-07      3.852e-07      2.141e-07      7.334e-08      8.643e-09 
 39.00      1.304e-09      5.703e-11      5.549e-11      7.017e-12      1.392e-12      1.216e-13      3.415e-11      1.486e-10      6.092e-08      1.189e-07      2.096e-07      4.909e-07      3.000e-07      1.654e-07      5.626e-08      6.440e-09 
 39.50      9.710e-10      3.960e-11      3.861e-11      4.776e-12      9.461e-13      7.680e-14      2.383e-11      1.037e-10      4.676e-08      9.025e-08      1.602e-07      3.860e-07      2.337e-07      1.278e-07      4.316e-08      4.799e-09 
 40.00      7.231e-10      2.750e-11      2.687e-11      3.251e-12      6.430e-13      4.851e-14      1.662e-11      7.238e-11      3.589e-08      6.853e-08      1.225e-07      3.035e-07      1.821e-07      9.876e-08      3.312e-08      3.576e-09 
 40.50      5.386e-10      1.909e-11      1.869e-11      2.213e-12      4.370e-13      3.065e-14      1.160e-11      5.051e-11      2.754e-08      5.204e-08      9.366e-08      2.387e-07      1.418e-07      7.631e-08      2.541e-08      2.665e-09 
 41.00      4.012e-10      1.326e-11      1.301e-11      1.507e-12      2.971e-13      1.936e-14      8.091e-12      3.525e-11      2.114e-08      3.952e-08      7.166e-08      1.877e-07      1.105e-07      5.896e-08      1.949e-08      1.986e-09 
 41.50      2.988e-10      9.211e-12      9.050e-12      1.026e-12      2.020e-13      1.223e-14      5.645e-12      2.460e-11      1.623e-08      3.001e-08      5.484e-08      1.476e-07      8.609e-08      4.556e-08      1.496e-08      1.480e-09 
 42.00      2.226e-10      6.398e-12      6.297e-12      6.981e-13      1.373e-13      7.726e-15      3.939e-12      1.717e-11      1.245e-08      2.280e-08      4.199e-08      1.160e-07      6.708e-08      3.520e-08      1.147e-08      1.103e-09 
