*
* Overschrijdingskansen potentiele windsnelheid Schiphol. Met statistische onzekerheid.
* WTI2017: 12-uursmaxima, gegeven windrichting
*
* Door: K.A. Wojciechowska van HKV lijn in water
* Project: PR3280.10
*
* u         NNO             NO              ONO             O               OZO             ZO              ZZO             Z               ZZW             ZW              WZW             W               WNW             NW              NNW             N
 30.50      2.727e-07      4.581e-08      4.165e-08      8.068e-09      1.740e-09      6.174e-10      2.470e-08      1.050e-07      6.944e-06      1.678e-05      2.742e-05      3.549e-05      2.618e-05      1.665e-05      6.480e-06      1.284e-06 
 31.00      2.042e-07      3.220e-08      2.941e-08      5.585e-09      1.196e-09      3.993e-10      1.746e-08      7.434e-08      5.373e-06      1.284e-05      2.102e-05      2.810e-05      2.052e-05      1.296e-05      5.011e-06      9.666e-07 
 31.50      1.530e-07      2.265e-08      2.077e-08      3.867e-09      8.228e-10      2.584e-10      1.234e-08      5.267e-08      4.158e-06      9.830e-06      1.613e-05      2.224e-05      1.609e-05      1.009e-05      3.875e-06      7.277e-07 
 32.00      1.147e-07      1.593e-08      1.468e-08      2.679e-09      5.664e-10      1.672e-10      8.727e-09      3.732e-08      3.218e-06      7.525e-06      1.238e-05      1.761e-05      1.261e-05      7.861e-06      2.997e-06      5.479e-07 
 32.50      8.605e-08      1.121e-08      1.037e-08      1.856e-09      3.902e-10      1.083e-10      6.174e-09      2.645e-08      2.491e-06      5.762e-06      9.500e-06      1.395e-05      9.891e-06      6.122e-06      2.319e-06      4.126e-07 
 33.00      6.459e-08      7.896e-09      7.332e-09      1.286e-09      2.689e-10      7.011e-11      4.369e-09      1.875e-08      1.928e-06      4.412e-06      7.295e-06      1.105e-05      7.758e-06      4.769e-06      1.794e-06      3.107e-07 
 33.50      4.850e-08      5.562e-09      5.184e-09      8.913e-10      1.855e-10      4.542e-11      3.094e-09      1.330e-08      1.493e-06      3.380e-06      5.604e-06      8.749e-06      6.086e-06      3.715e-06      1.388e-06      2.341e-07 
 34.00      3.644e-08      3.919e-09      3.666e-09      6.180e-10      1.280e-10      2.944e-11      2.191e-09      9.430e-09      1.156e-06      2.589e-06      4.307e-06      6.931e-06      4.775e-06      2.894e-06      1.074e-06      1.763e-07 
 34.50      2.738e-08      2.762e-09      2.593e-09      4.285e-10      8.837e-11      1.908e-11      1.552e-09      6.689e-09      8.952e-07      1.984e-06      3.311e-06      5.491e-06      3.747e-06      2.255e-06      8.316e-07      1.329e-07 
 35.00      2.059e-08      1.948e-09      1.835e-09      2.972e-10      6.104e-11      1.238e-11      1.100e-09      4.746e-09      6.934e-07      1.520e-06      2.546e-06      4.350e-06      2.941e-06      1.758e-06      6.438e-07      1.001e-07 
 35.50      1.549e-08      1.374e-09      1.298e-09      2.062e-10      4.219e-11      8.028e-12      7.799e-10      3.368e-09      5.371e-07      1.165e-06      1.959e-06      3.447e-06      2.308e-06      1.370e-06      4.985e-07      7.548e-08 
 36.00      1.165e-08      9.696e-10      9.190e-10      1.431e-10      2.917e-11      5.210e-12      5.531e-10      2.391e-09      4.162e-07      8.935e-07      1.507e-06      2.732e-06      1.812e-06      1.068e-06      3.860e-07      5.690e-08 
 36.50      8.771e-09      6.844e-10      6.506e-10      9.934e-11      2.018e-11      3.382e-12      3.923e-10      1.698e-09      3.225e-07      6.851e-07      1.160e-06      2.165e-06      1.423e-06      8.326e-07      2.989e-07      4.290e-08 
 37.00      6.604e-09      4.833e-10      4.607e-10      6.897e-11      1.397e-11      2.196e-12      2.784e-10      1.205e-09      2.499e-07      5.255e-07      8.938e-07      1.716e-06      1.118e-06      6.492e-07      2.316e-07      3.235e-08 
 37.50      4.973e-09      3.414e-10      3.263e-10      4.790e-11      9.673e-12      1.426e-12      1.976e-10      8.562e-10      1.937e-07      4.031e-07      6.887e-07      1.361e-06      8.779e-07      5.063e-07      1.794e-07      2.440e-08 
 38.00      3.747e-09      2.412e-10      2.312e-10      3.327e-11      6.701e-12      9.268e-13      1.403e-10      6.083e-10      1.501e-07      3.092e-07      5.308e-07      1.079e-06      6.897e-07      3.949e-07      1.390e-07      1.840e-08 
 38.50      2.823e-09      1.705e-10      1.638e-10      2.312e-11      4.644e-12      6.024e-13      9.961e-11      4.323e-10      1.164e-07      2.373e-07      4.093e-07      8.553e-07      5.419e-07      3.080e-07      1.077e-07      1.388e-08 
 39.00      2.128e-09      1.206e-10      1.161e-10      1.607e-11      3.220e-12      3.917e-13      7.076e-11      3.072e-10      9.024e-08      1.821e-07      3.157e-07      6.782e-07      4.259e-07      2.403e-07      8.347e-08      1.048e-08 
 39.50      1.604e-09      8.527e-11      8.232e-11      1.117e-11      2.233e-12      2.547e-13      5.027e-11      2.184e-10      6.998e-08      1.398e-07      2.437e-07      5.379e-07      3.348e-07      1.875e-07      6.470e-08      7.905e-09 
 40.00      1.210e-09      6.033e-11      5.837e-11      7.764e-12      1.549e-12      1.657e-13      3.573e-11      1.553e-10      5.427e-08      1.073e-07      1.881e-07      4.266e-07      2.632e-07      1.463e-07      5.015e-08      5.967e-09 
 40.50      9.126e-10      4.270e-11      4.140e-11      5.400e-12      1.075e-12      1.078e-13      2.540e-11      1.104e-10      4.210e-08      8.243e-08      1.453e-07      3.384e-07      2.069e-07      1.142e-07      3.889e-08      4.504e-09 
 41.00      6.885e-10      3.023e-11      2.937e-11      3.756e-12      7.467e-13      7.020e-14      1.806e-11      7.856e-11      3.266e-08      6.331e-08      1.123e-07      2.685e-07      1.627e-07      8.911e-08      3.015e-08      3.400e-09 
 41.50      5.196e-10      2.141e-11      2.084e-11      2.613e-12      5.187e-13      4.571e-14      1.284e-11      5.589e-11      2.533e-08      4.863e-08      8.676e-08      2.130e-07      1.280e-07      6.956e-08      2.338e-08      2.567e-09 
 42.00      3.921e-10      1.516e-11      1.479e-11      1.819e-12      3.604e-13      2.978e-14      9.137e-12      3.977e-11      1.966e-08      3.737e-08      6.709e-08      1.690e-07      1.007e-07      5.431e-08      1.814e-08      1.939e-09 
