*
* Overschrijdingskansen potentiele windsnelheid Deelen. Zonder statistische onzekerheid.
* WTI2017: 12-uursmaxima, gegeven windrichting
*
* Door: K.A. Wojciechowska van HKV lijn in water
* Project: PR3280.10
*
* u         NNO             NO              ONO             O               OZO             ZO              ZZO             Z               ZZW             ZW              WZW             W               WNW             NW              NNW             N
 22.00      1.041e-06      1.523e-06      1.410e-06      7.425e-07      1.943e-07      2.168e-07      1.364e-06      4.947e-06      3.449e-05      2.987e-04      6.443e-04      9.300e-04      5.838e-04      2.830e-04      1.472e-05      1.429e-06 
 22.50      6.605e-07      9.865e-07      9.188e-07      4.789e-07      1.227e-07      1.340e-07      8.890e-07      3.272e-06      2.417e-05      2.318e-04      5.036e-04      7.329e-04      4.527e-04      2.166e-04      1.001e-05      9.073e-07 
 23.00      4.192e-07      6.391e-07      5.987e-07      3.089e-07      7.762e-08      8.282e-08      5.797e-07      2.165e-06      1.694e-05      1.799e-04      3.937e-04      5.777e-04      3.511e-04      1.658e-04      6.810e-06      5.759e-07 
 23.50      2.661e-07      4.141e-07      3.901e-07      1.992e-07      4.915e-08      5.120e-08      3.782e-07      1.432e-06      1.187e-05      1.397e-04      3.077e-04      4.553e-04      2.724e-04      1.270e-04      4.632e-06      3.656e-07 
 24.00      1.689e-07      2.684e-07      2.542e-07      1.285e-07      3.115e-08      3.166e-08      2.469e-07      9.473e-07      8.323e-06      1.086e-04      2.405e-04      3.588e-04      2.113e-04      9.725e-05      3.151e-06      2.320e-07 
 24.50      1.072e-07      1.739e-07      1.656e-07      8.286e-08      1.977e-08      1.958e-08      1.613e-07      6.266e-07      5.834e-06      8.444e-05      1.880e-04      2.828e-04      1.640e-04      7.451e-05      2.144e-06      1.473e-07 
 25.00      6.805e-08      1.127e-07      1.079e-07      5.344e-08      1.256e-08      1.211e-08      1.055e-07      4.145e-07      4.090e-06      6.567e-05      1.470e-04      2.229e-04      1.272e-04      5.710e-05      1.458e-06      9.348e-08 
 25.50      4.319e-08      7.309e-08      7.032e-08      3.446e-08      7.985e-09      7.495e-09      6.899e-08      2.742e-07      2.867e-06      5.110e-05      1.149e-04      1.757e-04      9.877e-05      4.377e-05      9.921e-07      5.934e-08 
 26.00      2.742e-08      4.739e-08      4.582e-08      2.223e-08      5.082e-09      4.638e-09      4.516e-08      1.814e-07      2.010e-06      3.977e-05      8.982e-05      1.384e-04      7.668e-05      3.355e-05      6.750e-07      3.766e-08 
 26.50      1.740e-08      3.073e-08      2.986e-08      1.434e-08      3.237e-09      2.870e-09      2.957e-08      1.200e-07      1.409e-06      3.097e-05      7.022e-05      1.091e-04      5.954e-05      2.572e-05      4.592e-07      2.391e-08 
 27.00      1.105e-08      1.993e-08      1.946e-08      9.245e-09      2.064e-09      1.777e-09      1.937e-08      7.938e-08      9.879e-07      2.412e-05      5.489e-05      8.599e-05      4.624e-05      1.972e-05      3.125e-07      1.517e-08 
 27.50      7.011e-09      1.293e-08      1.268e-08      5.963e-09      1.317e-09      1.100e-09      1.270e-08      5.251e-08      6.926e-07      1.879e-05      4.291e-05      6.777e-05      3.592e-05      1.513e-05      2.126e-07      9.632e-09 
 28.00      4.450e-09      8.386e-09      8.262e-09      3.846e-09      8.409e-10      6.810e-10      8.329e-09      3.474e-08      4.856e-07      1.464e-05      3.355e-05      5.341e-05      2.790e-05      1.160e-05      1.447e-07      6.114e-09 
 28.50      2.825e-09      5.440e-09      5.384e-09      2.480e-09      5.373e-10      4.217e-10      5.465e-09      2.298e-08      3.405e-07      1.141e-05      2.623e-05      4.210e-05      2.168e-05      8.898e-06      9.843e-08      3.881e-09 
