% Status data:	Final
%																
% Typ of data:	Exceedance Probability Table                                                                                                                                                                            															
%
%																
%	NOORD		30		60		OOST		120		150		ZUID		210		240		WEST		300		330
%Wind speed	1	2	 	3		4		5		6		7		8		9		10		11		12
22.5	9.97474E-06	2.38237E-07	2.86310E-06	2.71299E-06	5.48374E-06	1.53782E-05	1.24993E-04	2.41274E-04	2.34483E-03	1.82258E-03	4.16434E-04	8.61662E-05
23	6.78993E-06	1.40745E-07	1.90675E-06	1.85756E-06	3.78640E-06	1.07597E-05	8.91590E-05	1.72880E-04	1.82951E-03	1.40662E-03	3.10856E-04	6.26652E-05
23.5	4.62199E-06	8.31491E-08	1.26985E-06	1.27185E-06	2.61443E-06	7.52826E-06	6.35981E-05	1.23874E-04	1.39211E-03	1.08558E-03	2.32045E-04	4.55739E-05
24	3.14624E-06	4.91226E-08	8.45686E-07	8.70826E-07	1.80521E-06	5.26732E-06	4.53652E-05	8.87597E-05	1.05929E-03	8.37823E-04	1.73215E-04	3.31441E-05
24.5	2.14169E-06	2.90205E-08	5.63205E-07	5.96246E-07	1.24646E-06	3.68540E-06	3.23595E-05	6.35991E-05	8.06038E-04	6.46607E-04	1.29300E-04	2.41044E-05
25	1.45787E-06	1.71447E-08	3.75080E-07	4.08244E-07	8.60652E-07	2.57857E-06	2.30824E-05	4.55707E-05	6.13332E-04	4.99033E-04	9.65190E-05	1.75301E-05
25.5	9.92392E-07	1.01287E-08	2.49794E-07	2.79521E-07	5.94262E-07	1.80416E-06	1.64649E-05	3.26529E-05	4.66698E-04	3.85139E-04	7.20487E-05	1.27490E-05
26	6.75534E-07	5.98380E-09	1.66356E-07	1.91386E-07	4.10325E-07	1.26232E-06	1.17446E-05	2.33968E-05	3.55121E-04	2.97239E-04	5.37823E-05	9.27181E-06
26.5	4.59844E-07	3.53510E-09	1.10789E-07	1.31040E-07	2.83321E-07	8.83209E-07	8.37756E-06	1.67645E-05	2.70220E-04	2.29401E-04	4.01470E-05	6.74302E-06
27	3.13022E-07	2.08845E-09	7.37827E-08	8.97219E-08	1.95627E-07	6.17957E-07	5.97581E-06	1.20123E-05	2.05616E-04	1.77045E-04	2.99686E-05	4.90393E-06
27.5	2.13078E-07	1.23381E-09	4.91374E-08	6.14317E-08	1.35076E-07	4.32368E-07	4.26261E-06	8.60720E-06	1.56458E-04	1.36638E-04	2.23707E-05	3.56643E-06
28	1.45045E-07	7.28908E-10	3.27242E-08	4.20618E-08	9.32671E-08	3.02516E-07	3.04056E-06	6.16733E-06	1.19052E-04	1.05453E-04	1.66991E-05	2.59372E-06
28.5	9.87337E-08	4.30623E-10	2.17935E-08	2.87993E-08	6.43990E-08	2.11662E-07	2.16887E-06	4.41908E-06	9.05895E-05	8.13858E-05	1.24654E-05	1.88631E-06
29	6.72093E-08	2.54402E-10	1.45139E-08	1.97186E-08	4.44661E-08	1.48094E-07	1.54708E-06	3.16641E-06	6.89316E-05	6.28112E-05	9.30507E-06	1.37184E-06
